filename,doi,status,doi_source,warning
Rushforth1981_PHYTOPLANKTONUTAHLAKE-1981_GBNM.pdf,10.1134/s001387380902016x,matched,title_search,
Rushforth1985_NEWRECORDSCOMPREHENSIVE-1985_GBNM.pdf,10.1134/s001387380902016x,matched,title_search,
Rushforth1988_COMPREHENSIVELISTHABITAT-1988_GBNM.pdf,10.1007/978-94-011-4349-3_140,matched,title_search,
Shiozawa1974_ThesisBYU_The population dynamics of Tanypus stellatus Coquillett (Diptera_.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Shope2015_SaltLoadsGSL_1-s2.0-S0048969715303612_STOTEN.pdf,10.1016/j.scitotenv.2015.07.015,matched,pdf_text,
Smith2025_ThesisBYU_TheRoleofDustInputsandSedimentPhosphorusDiffusionIntoUt.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Smith2026_Publicawarenessbloom-pronelakeUtahLakeUtah_LakeAndResrvoirManagement .pdf,10.1080/10402381.2025.2578752,matched,pdf_text,
Smithson2020_ThesisBYU_Dynamics_of_Internal_Phosphoru.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Squires1979_COMPETITIVEDISPLACEMENTFACTOR-1979_GBNM.pdf,10.1134/s001387380902016x,matched,title_search,
Squires1986_WinterPhytoplankton_Hydrbiologia.pdf,10.1007/bf00008859,matched,title_search,
Stroming 2020_Quantifying the Human Health Benefits of Using Satellite Information to Detect Cyanobacterial_GeoHealth.pdf,10.1029/2020GH000254,matched,pdf_text,
Sundrub1971_ThesisBYU_The biochemical response of Provo Bay to nutrient inflow.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Taggart2025_GeochemicalStudyCores-geosciences-15-00363.pdf,10.3390/geosciences15090363,matched,pdf_text,
Taggert2022_Mineral_Precipitation_In_Utah_Lake_And_Its_Effluent_Mixing_Zones_IEEEexplore.pdf,10.1109/ietc54973.2022.9796662,matched,title_search,
Taggert2024_DissertationBYU_Applications of Phosphorus Geochemistry to Utah Lake.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Taggert2024_MassBalanceUL_water-16-00933-v2.pdf,10.3390/w16070933,matched,pdf_text,
tanner2022_AlgalTrends_RemoteSensing.pdf,10.3390/rs14153664,matched,pdf_text,
Tanner2025_DissertationBYU_UtahLakeFromSpaceAnalysisSentinel2andMODISData.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Tanner2025_UL_RS_Data_data-10-00128.pdf,10.5281/zenodo.15677448,no_match,pdf_text,
Tanner2026_StatsAnalysisUL_Blooms_remotesensing-18-00394.pdf,10.3390/rs18030394,matched,pdf_text,
Tate2019_ThesisBYU_Landsat_Collections_Reveal_Lon.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Telfer2023_ThesisBYU_Sources_of_Atmospheric_Dust_De.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Telfor2023_ADsource_hydrology-10-00210.pdf,10.3390/hydrology10110210,matched,pdf_text,
Toole1974_ThesisBYU_The benthic communities of the eastern rocky shore areas of Goshe.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Valdes2017_total-mercury-and-methylmercury-response-in-water-sediment-and-biota-to-destratification-of-the-great-salt-lake-utah_EnvSciTech.pdf,10.1021/acs.est.6b05790,matched,pdf_text,
Valek2024water-16-02170-with-cover.pdf,10.3390/w16152170,matched,pdf_text,
Valek2024_ThesisBYU_QuantifyingandCharacterizingtheBehaviorofDissolvedandSusp.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Whiting1978_EnvirInteractSummerAlgalCommun_GBNM.pdf,,no_match,,
Williams2021_ThesisBYU_Determining_the_Anthropogenic_.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Williams2023_UL_HumanTrophicchanges_s11270-023-06228-5.pdf,10.1007/s11270-023-06228-5,matched,pdf_text,
Williams2025_AD_Farmintonbay_hydrology-12-00131-v2.pdf,10.3390/hydrology12060131,matched,pdf_text,
Wurtsbaugh2011_MercurySeleniumBioAccumGSL_1-s2.0-S0048969711007455_STOTEN.pdf,10.1016/j.scitotenv.2011.07.027,matched,pdf_text,
Wurtsbaugh2020_MiningMetalsGSL_1-s2.0-S0269749120329201_EnvPollution.pdf,10.1016/j.envpol.2020.115072,matched,pdf_text,
Wurtsbaugh2025_SalinityToxicHABS_GSL_1-s2.0-S1568988325001611_HarmfulAlgae.pdf,10.1016/j.hal.2025.102959,matched,pdf_text,
Yang2-10_DissertationUoU_Study_of_Aquatic_and_Trace_Ele.pdf,10.1016/0165-9936(83)87023-x,matched,title_search,
Zanazzi2020_StableIsotopesWaterBalance-hydrology-07-00088.pdf,10.3390/hydrology7040088,matched,pdf_text,
Zannazzi2020_IstopesWaterBalance_hydrology-07-00088.pdf,10.3390/hydrology7040088,matched,pdf_text,
Zhao2025_TRackingLakeSurfaceTemper_s2.0-S1574954125001931_EcologicalInformatics.pdf,10.1016/j.ecoinf.2025.103184,matched,pdf_text,
